tas,date, Country, ISO3, ISO2
25.6795,1931-2,KEN,,
25.9538,1931-3,KEN,,
25.2779,1931-4,KEN,,
24.8375,1931-5,KEN,,
23.6471,1931-6,KEN,,
23.049,1931-7,KEN,,
23.3311,1931-8,KEN,,
24.1538,1931-9,KEN,,
25.0339,1931-10,KEN,,
24.4808,1931-11,KEN,,
24.6309,1931-12,KEN,,
24.7907,1932-1,KEN,,
26.1482,1932-2,KEN,,
25.9549,1932-3,KEN,,
25.3305,1932-4,KEN,,
24.3425,1932-5,KEN,,
23.3516,1932-6,KEN,,
22.7685,1932-7,KEN,,
23.0861,1932-8,KEN,,
23.8637,1932-9,KEN,,
24.7424,1932-10,KEN,,
24.4841,1932-11,KEN,,
24.4728,1932-12,KEN,,
24.721,1933-1,KEN,,
25.7123,1933-2,KEN,,
26.0397,1933-3,KEN,,
25.6289,1933-4,KEN,,
24.5476,1933-5,KEN,,
23.528,1933-6,KEN,,
22.8739,1933-7,KEN,,
23.1873,1933-8,KEN,,
23.955,1933-9,KEN,,
24.9181,1933-10,KEN,,
24.5558,1933-11,KEN,,
24.4337,1933-12,KEN,,
24.4204,1934-1,KEN,,
24.9704,1934-2,KEN,,
25.5802,1934-3,KEN,,
25.4908,1934-4,KEN,,
24.7865,1934-5,KEN,,
23.5582,1934-6,KEN,,
22.8945,1934-7,KEN,,
23.1843,1934-8,KEN,,
23.8624,1934-9,KEN,,
24.8384,1934-10,KEN,,
24.8169,1934-11,KEN,,
24.7096,1934-12,KEN,,
25.2228,1935-1,KEN,,
25.9256,1935-2,KEN,,
26.2406,1935-3,KEN,,
25.2451,1935-4,KEN,,
24.2858,1935-5,KEN,,
22.9893,1935-6,KEN,,
22.383,1935-7,KEN,,
22.6866,1935-8,KEN,,
23.9077,1935-9,KEN,,
25.0595,1935-10,KEN,,
24.7584,1935-11,KEN,,
24.4515,1935-12,KEN,,
24.6939,1936-1,KEN,,
25.5949,1936-2,KEN,,
25.9642,1936-3,KEN,,
25.4319,1936-4,KEN,,
24.7545,1936-5,KEN,,
23.1227,1936-6,KEN,,
22.3288,1936-7,KEN,,
22.7353,1936-8,KEN,,
23.5911,1936-9,KEN,,
25.1283,1936-10,KEN,,
25.0251,1936-11,KEN,,
24.5779,1936-12,KEN,,
24.9297,1937-1,KEN,,
25.8138,1937-2,KEN,,
26.0977,1937-3,KEN,,
25.9618,1937-4,KEN,,
25.0437,1937-5,KEN,,
23.6121,1937-6,KEN,,
22.7401,1937-7,KEN,,
23.2071,1937-8,KEN,,
24.295,1937-9,KEN,,
25.1255,1937-10,KEN,,
25.0632,1937-11,KEN,,
24.4816,1937-12,KEN,,
24.7419,1938-1,KEN,,
25.5309,1938-2,KEN,,
26.0814,1938-3,KEN,,
25.3597,1938-4,KEN,,
24.3714,1938-5,KEN,,
23.4905,1938-6,KEN,,
22.8154,1938-7,KEN,,
23.1995,1938-8,KEN,,
23.9565,1938-9,KEN,,
24.8489,1938-10,KEN,,
24.6397,1938-11,KEN,,
24.3623,1938-12,KEN,,
24.5533,1939-1,KEN,,
25.5731,1939-2,KEN,,
26.0763,1939-3,KEN,,
25.6644,1939-4,KEN,,
25.0327,1939-5,KEN,,
23.31,1939-6,KEN,,
23.0283,1939-7,KEN,,
23.4546,1939-8,KEN,,
24.3708,1939-9,KEN,,
24.9888,1939-10,KEN,,
24.8837,1939-11,KEN,,
24.6794,1939-12,KEN,,
25.3741,1940-1,KEN,,
26.2078,1940-2,KEN,,
25.8038,1940-3,KEN,,
24.5366,1940-4,KEN,,
25.1662,1940-5,KEN,,
24.0148,1940-6,KEN,,
23.0212,1940-7,KEN,,
23.4395,1940-8,KEN,,
24.2913,1940-9,KEN,,
25.0608,1940-10,KEN,,
25.2638,1940-11,KEN,,
25.0532,1940-12,KEN,,
25.043,1941-1,KEN,,
26.5202,1941-2,KEN,,
26.4694,1941-3,KEN,,
26.2376,1941-4,KEN,,
25.3447,1941-5,KEN,,
23.3427,1941-6,KEN,,
22.9053,1941-7,KEN,,
23.3262,1941-8,KEN,,
24.4596,1941-9,KEN,,
25.2365,1941-10,KEN,,
24.7296,1941-11,KEN,,
24.573,1941-12,KEN,,
25.1703,1942-1,KEN,,
26.4516,1942-2,KEN,,
26.412,1942-3,KEN,,
26.0498,1942-4,KEN,,
24.887,1942-5,KEN,,
23.745,1942-6,KEN,,
22.548,1942-7,KEN,,
23.0102,1942-8,KEN,,
23.8265,1942-9,KEN,,
24.9862,1942-10,KEN,,
25.0473,1942-11,KEN,,
24.9204,1942-12,KEN,,
25.0375,1943-1,KEN,,
25.4796,1943-2,KEN,,
26.2421,1943-3,KEN,,
26.1875,1943-4,KEN,,
25.2514,1943-5,KEN,,
23.5034,1943-6,KEN,,
22.7769,1943-7,KEN,,
